File,Model,MAE
Wheat_UP.csv,P-WEV,0.02478494491035496
Ragi_Karnataka.csv,GARCH,0.7415031134897154
Ragi_Karnataka.csv,GJR-GARCH,0.7413542301305643
Ragi_Karnataka.csv,EWMA,0.7449170874276634
Ragi_Karnataka.csv,MEM,0.7050823682718819
Ragi_Karnataka.csv,P-WEV,0.14871883787839693
Coriander_Gujarat.csv,GARCH,0.6909809171708882
Coriander_Gujarat.csv,GJR-GARCH,0.6914702135225954
Coriander_Gujarat.csv,EWMA,0.7020111082577247
Coriander_Gujarat.csv,MEM,0.6559587437905615
Coriander_Gujarat.csv,P-WEV,0.13615067399260403
Bajra_Guj.csv,GARCH,0.6634145068539119
Bajra_Guj.csv,GJR-GARCH,0.6652581623643801
Bajra_Guj.csv,EWMA,0.6723635647254989
Bajra_Guj.csv,MEM,0.6106843292730993
Bajra_Guj.csv,P-WEV,0.24443654067686518
