File,Model,R2
Wheat_UP.csv,MEM,-65.73254063607428
Wheat_UP.csv,P-WEV,-0.04315931041673249
Ragi_Karnataka.csv,GARCH,-25.47548132969628
Ragi_Karnataka.csv,GJR-GARCH,-25.450887334537697
Ragi_Karnataka.csv,EWMA,-25.390476398020144
Ragi_Karnataka.csv,MEM,-24.072895614942237
Ragi_Karnataka.csv,P-WEV,-0.7351194478706644
Coriander_Gujarat.csv,GARCH,-33.727746132940496
Coriander_Gujarat.csv,GJR-GARCH,-33.870593725261664
Coriander_Gujarat.csv,EWMA,-32.73924135606916
Coriander_Gujarat.csv,MEM,-31.051702787286203
Coriander_Gujarat.csv,P-WEV,-0.7721303846463987
Bajra_Guj.csv,GARCH,-10.015818905259948
Bajra_Guj.csv,GJR-GARCH,-10.129383003342005
Bajra_Guj.csv,EWMA,-7.681594424574371
Bajra_Guj.csv,MEM,-6.747040385138047
Bajra_Guj.csv,P-WEV,-0.7779290442634406
