,GARCH,GJR-GARCH,EWMA,MEM,P-WEV
MSE,0.3843179084255584,0.38461236375359087,0.3740038057377575,0.33483058616610645,0.9657667574518789
MAE,0.5237743083973333,0.5240302200093513,0.5158131533339824,0.4656195448107501,0.78646501081936
MAPE,8789.316461636608,8786.804623764061,8807.85527930232,7792.24929348647,100.0
R2,-0.10678036195808893,-0.10762835099892065,-0.07707722802700823,0.03573601638877644,-1.7812695113756907
