File,Model,MSE
Ragi_Karnataka.csv,EWMA,2546162.859291021
Ragi_Karnataka.csv,MEM,2503705.1896415153
Ragi_Karnataka.csv,P-WEV,16922.922729140977
Coriander_Gujarat.csv,GARCH,3179634.6177388597
Coriander_Gujarat.csv,GJR-GARCH,3199544.1726354435
Coriander_Gujarat.csv,EWMA,33466012.264434885
Coriander_Gujarat.csv,MEM,33078493.00612365
Coriander_Gujarat.csv,P-WEV,168351.1974872399
Bajra_Guj.csv,GARCH,165341.327709098
Bajra_Guj.csv,GJR-GARCH,167054.93463959833
Bajra_Guj.csv,EWMA,2319188.0980840405
Bajra_Guj.csv,MEM,2276687.1780810314
Bajra_Guj.csv,P-WEV,26686.93083072645
