Commodity Name,State,MLP,GRU,LSTM,RNN,XGBoost,Linear Regression,SVR,ESN,ARIMA,State
Onion,Maharashtra,0.0322920120256858,0.0210991876521956,0.0181635903454568,0.0199277929724073,0.0243543149183654,0.0229517563421299,0.1008239045740173,0.3456029592422547,0.2734120532655419,Maharashtra
Jowar,Maharashtra,0.0230334053843202,0.0114563697333645,0.0290039367761947,0.0144573230201836,0.1131396315870948,0.0163471507180372,0.1360945916778516,0.2535364847380388,0.1902019656423854,Maharashtra
Mustard,Rajasthan,0.0133026392749906,0.0109814967463986,0.0107547128184956,0.0104108626925235,0.0201476108523469,0.010589226483007,0.0589188091593353,0.2006070545590201,0.4394797494361374,Rajasthan
Lentil,MP,0.0224940611960484,0.0214921430939349,0.0271516456097998,0.0232065348733035,0.0302409445155014,0.0225315702775771,0.0319099266608013,0.1082354363127893,0.3531237687144136,MP
Cumin,Gujarat,0.010135123680271,0.008847635053237,0.0099819821883065,0.008020084256622,0.009476267784167,0.0088217219147974,0.0208722667003414,0.0784666903956003,0.2830870282665039,Gujarat
Greengram,UP,0.1633902865065924,0.0278357095416935,0.0375484304866571,0.0702925064988519,0.0198455877276672,0.0474488546687743,0.1993222923356079,16.77811089307636,0.2501269173353653,UP
Bajra,Guj,0.0391723835679173,0.038457265729732,0.036408323822237,0.0370995254636186,0.055013814926819,0.0373899883582361,0.097151187808466,0.4934402303434338,0.2164148124853535,Guj
Soybean,MP,0.0329256337381083,0.0284762445604744,0.0295202278351066,0.0329829318083113,0.0319744259810391,0.032912914439995,0.080700306499947,0.4375908120538398,0.139857160694816,MP
DryChillies,AP,0.0233667127387377,0.0099858719991258,0.0121408265383951,0.0159138739216704,0.0492112681019031,0.0136550029070181,0.0529596512000059,1.598692822432271,0.3577994739098937,AP
Wheat,UP,0.00380514968357,0.0042705026855516,0.0027846352814484,0.002732215685957,0.0215812663702898,0.0029250032954548,0.0800078121677756,11.960623789802192,0.1562117529099319,UP
KabuliChana,MP,0.0323638104799563,0.0227770080752288,0.0231784544333913,0.0250806802225157,0.026807084836286,0.0264102980113004,0.0403808571569807,0.2970828804335074,0.1960274724525302,MP
Ragi,Karnataka,0.011428486984812,0.0215616842284504,0.0100054662894083,0.0120462624184145,0.0214729708556138,0.0120426738569459,0.1242951158101051,0.5843553471017631,0.4520832413653624,Karnataka
Sesamum,Gujarat,0.0289172449040672,0.0124854992728518,0.0147418083976144,0.0158832353395612,0.0502663726728895,0.0162594347593088,0.0854101032482751,0.2955704383422661,0.2937827545650352,Gujarat
Turmeric,Maharashtra,0.0113576543690346,0.0046686719572524,0.0042045341404529,0.006784655431479,0.0180658771421468,0.0070443077242377,0.0464784710010212,1.3614554353855222,0.4492455150319344,Maharashtra
Bengalgram,MP,0.0672544742344566,0.0148338715927379,0.0200045949355285,0.0165849787078386,0.2147088313263433,0.0196491082005573,0.3911724720187908,2.724262434568268,0.2825340697028201,MP
Arhar,Maharashtra,0.0217810197609879,0.0198970967508013,0.0201810305193238,0.0207405865203222,0.0290411759859655,0.0203991320594013,0.0528506789231731,0.1889156789324324,0.1502911316014976,Maharashtra
Tomato,UP,0.0299091474123008,0.0168350240530343,0.0183326314367706,0.0186026019609761,0.0290175934553058,0.0180655045125593,0.0358837677808153,0.1430907099742877,0.3640201664483037,UP
Paddy,Chattisgarh,0.0348205441967757,0.0353671768665829,0.0340535491284824,0.0919495962671066,0.0429695859672402,0.0318177551607311,0.1305635582344738,3.56606389122913,0.0628195542720196,Chattisgarh
Coriander,Gujarat,0.0399300811664614,0.03289362928777,0.0276694296097529,0.0287757045787473,0.0664535170523795,0.0289240301487437,0.1286090556135146,0.7296803715269476,0.2640187286440265,Gujarat
Maize,Chattisgarh,0.2884636834877019,0.0537635463439389,0.092515608245208,0.1053932592180777,0.7113574105824648,0.0485177187519758,1.0729320086066731,5.608150406737215,0.5249463361371444,Chattisgarh
Potato,UP,0.0048005019548371,0.0041815964273507,0.0056171074902585,0.0058697755455168,0.0258558714664088,0.0041238751844973,0.1100431083208205,0.4910506508559369,0.4559663220509586,UP
Cotton,Gujarat,0.0580051237633841,0.0515684520058558,0.0533944016583662,0.0248833146192924,0.0762645368902294,0.0246343475695436,0.1245656550466696,1.1190917252099613,0.1879765977210286,Gujarat
Groundnut,Guj,0.0217382312106074,0.0230886766212825,0.0216399342955666,0.0236575940693996,0.0288687133524213,0.0218146166997505,0.0315041683306516,0.7100050390641499,0.2582957396420852,Guj
