Commodity Name,State,MLP,GRU,LSTM,RNN,XGBoost,Linear Regression,SVR,ESN,ARIMA,State
Onion,Maharashtra,1410573333299419.5,727881095577741.0,483095915724890.06,695958088908926.1,991343604531372.0,805588529637387.9,6070193709068382.0,2.078547695635001e+16,inf,Maharashtra
Jowar,Maharashtra,10.920700948433192,5.122552045163575,14.489209062804544,6.379187836478412,61.68303156273882,7.461495007549486,73.65619288281258,131.15456591529363,inf,Maharashtra
Mustard,Rajasthan,20.81554965706322,12.822316397351385,15.494955869820364,13.650698034745028,40.59522805155997,13.61538125639532,71.80320335328898,291.9952526741386,inf,Rajasthan
Lentil,MP,8.259931293168982,8.000687205521624,9.404641025758115,8.310464071422679,10.713707052114763,8.235460855961454,10.908281329766544,36.00723357191444,inf,MP
Cumin,Gujarat,8.26113951765633,7.672425249810845,8.873925817828592,6.727141973307758,7.927008659107597,7.418970294580037,16.24332538576873,62.7649379664832,inf,Gujarat
Greengram,UP,76.41415611316395,13.4043666806573,18.117959929619108,36.23449762936471,9.16836312026219,23.22405564765924,102.29709711807466,8347.680023795596,inf,UP
Bajra,Guj,528056952229741.2,455687430020160.8,496481160231662.0,512006288372032.1,680940460909843.5,506177064946690.3,877257811916976.4,1859248743739138.5,inf,Guj
Soybean,MP,31.34703804227334,29.64471771655449,30.15882471087279,34.23443453864656,35.720566099591785,34.00025180072161,113.57968423603413,459.4398667416818,inf,MP
DryChillies,AP,111138672767467.05,67364344959755.84,65782507013331.3,68925172860724.52,623386637922938.8,104163044163118.2,765461591053081.4,1.1149882685242506e+16,inf,AP
Wheat,UP,5.786531681518197,6.6508463287074,4.0845274669202345,4.034229463308007,29.95053164710704,4.356649062475612,125.1681591292293,18306.566986578808,inf,UP
KabuliChana,MP,2689884169566264.5,2492561476612912.0,2518145130049816.5,2506394046308731.0,2709761800462395.5,2479265205746858.0,2546020647335710.0,5817091972946219.0,inf,MP
Ragi,Karnataka,671800035142840.0,1559310510881341.0,863710434171226.1,1456220947659815.2,2874455215478289.0,1473561564392114.5,1.3443566870605996e+16,5.343887919093025e+16,inf,Karnataka
Sesamum,Gujarat,22.953981166728298,10.593672041581552,13.01942776401516,12.52611436999973,42.59648295034096,13.338526207603069,68.84986035647336,235.8383347403304,inf,Gujarat
Turmeric,Maharashtra,231929816824009.47,59507239555456.38,18057514438218.227,96654829816621.16,392198133754191.1,52272339308651.91,2134768811188219.5,1.6980907708203e+16,inf,Maharashtra
Bengalgram,MP,119.63930175831624,70.28661739549679,79.39633630960942,63.38560975627591,344.5450369897859,74.09805463303665,645.33518967634,3311.3823065275205,inf,MP
Arhar,Maharashtra,14.883171550221878,13.84115415602674,14.028516103669151,14.11458308357972,22.081020378194324,13.643432050083746,38.83548709852509,136.81067237124543,inf,Maharashtra
Tomato,UP,431132271861460.2,92117738325890.23,247942594698612.25,94796903173180.52,647635368045973.6,221256983305164.5,1185153458093938.5,1082569774681030.0,inf,UP
Paddy,Chattisgarh,38.34965782008672,42.61887811052236,44.17061605160246,109.73420608952928,48.49813699626913,39.425350662635886,151.4470388456437,3317.196987027446,inf,Chattisgarh
Coriander,Gujarat,229.9881505607118,158.7934476561594,110.90022229548968,130.1024714532636,571.6820991635292,134.0089403863135,1118.6825581849623,6882.907637228425,inf,Gujarat
Maize,Chattisgarh,42.58699802292308,8.010547581295679,13.816398265310731,15.831969939473234,106.65880638934053,7.326989999398019,164.12649244016526,837.9650499163089,inf,Chattisgarh
Potato,UP,12284709815252.67,10001875483724.15,13424936785580.21,660948293289.5485,34761503346535.305,8357556299933.602,133247065076433.23,225058050655979.4,inf,UP
Cotton,Gujarat,226.9500203610922,112.85491530606916,153.24792914037295,104.54065244915684,196.1318973895945,91.57050003119434,697.7420540939592,4532.820559246004,inf,Gujarat
Groundnut,Guj,14.67644495537899,14.406340000536488,13.983134472879394,16.504976573900557,20.26513215070052,14.462107975957196,23.163284838882937,489.744789404592,inf,Guj
