Commodity Name,State,MLP,GRU,LSTM,RNN,XGBoost,Linear Regression,SVR,ESN,ARIMA,State
Onion,Maharashtra,0.0475717985173864,0.0343962089980988,0.0356793476320636,0.0342114626266744,0.0380713158211559,0.0365603651404408,0.1056883667358939,0.4690380059010393,0.2947250291820568,Maharashtra
Jowar,Maharashtra,0.0296444498704584,0.0161748496367084,0.0322780772750503,0.0213946188276148,0.1286927771231182,0.0228145379924782,0.1498778928435485,0.3172220897147396,0.2358250150786705,Maharashtra
Mustard,Rajasthan,0.0173487602560182,0.0141887979404866,0.014415932786473,0.0138958991841891,0.0287863492981711,0.0141013079933204,0.0678603429744217,0.2386857711021336,0.487159870120997,Rajasthan
Lentil,MP,0.0322733370705612,0.0316968690568537,0.0344728475588833,0.0319378878031562,0.0398671054526547,0.0321826372215171,0.040101180977474,0.1300547920691078,0.392513925453667,MP
Cumin,Gujarat,0.0131901543228229,0.0121213181947547,0.0129554580679497,0.0115312433251462,0.0126923189328144,0.0120484437858308,0.0248722919357945,0.2246314009605601,0.3294953286792851,Gujarat
Greengram,UP,0.1779505483923038,0.0370721295007558,0.0471072437567509,0.0833523122789915,0.028796382226646,0.0566602492503929,0.203242315628591,18.907787958684462,0.2893323627901799,UP
Bajra,Guj,0.0549490472640859,0.0504942752015984,0.0498229666162919,0.0515394652738222,0.0742263083410094,0.0513629750456015,0.1146687405882503,0.6009085174615256,0.2457299508346714,Guj
Soybean,MP,0.0729463288184926,0.0714747904449261,0.0711646577287035,0.0758969977352964,0.0698964559447636,0.0762199280452576,0.1054791278693799,0.5405035462543649,0.1621451029092208,MP
DryChillies,AP,0.0319469311676294,0.020696934267696,0.0224764111300988,0.0245699158777623,0.0737351664511316,0.0230135749784202,0.0756281962242987,2.063066532440815,0.4389348268035938,AP
Wheat,UP,0.0054313497415734,0.0053966023120654,0.0044856377854815,0.0043381383226154,0.0248730411496078,0.0045072876134526,0.0809456446112752,12.040218175375804,0.1711230901356631,UP
KabuliChana,MP,0.0643906839640202,0.0583072926744484,0.0599850483680621,0.0613476117694447,0.0609804829259907,0.0610991895799316,0.067629387250102,0.4990922943054174,0.2454838966228778,MP
Ragi,Karnataka,0.0151180504744742,0.0249977040846855,0.0138590315932453,0.0152801119157603,0.0262240909017648,0.0152510643240914,0.1257070046569938,0.6357403615827733,0.4724245428231302,Karnataka
Sesamum,Gujarat,0.0341525794271665,0.0157975376889691,0.0198771132675544,0.0191592944853002,0.0586143786015643,0.0216764626194105,0.0913418103942716,0.324916900060696,0.3140331046541623,Gujarat
Turmeric,Maharashtra,0.0165059280032236,0.011712184803088,0.0110137713424181,0.0122088582097905,0.0220697445604633,0.0126279459733233,0.0607880603092876,1.9335956832040129,0.5440603922955072,Maharashtra
Bengalgram,MP,0.0781225785719534,0.021869512191258,0.0259335153637264,0.0248620393744953,0.2243932669144159,0.0278266052715438,0.4083522317894728,3.5658907290066035,0.3956222664509978,MP
Arhar,Maharashtra,0.0272393002722913,0.0257960705861655,0.0259617820337023,0.0262843009832721,0.0346786122513647,0.0263567058691349,0.0599938404573236,0.2649615767184684,0.2043649782585211,Maharashtra
Tomato,UP,0.0388125326196213,0.0256946015068607,0.0257674676140667,0.027399206458691,0.0348545952747458,0.0264586058459934,0.0433295865203204,0.1863546914122539,0.4277497155666175,UP
Paddy,Chattisgarh,0.0465127849734259,0.0486556866305391,0.0466919867304668,0.1011638172017084,0.0561060746603411,0.0441508581793142,0.1448562663266697,4.344261646361847,0.0813381895877748,Chattisgarh
Coriander,Gujarat,0.0511888644995478,0.0434909485446052,0.0391758540885356,0.0405348017793813,0.0811069592574642,0.0404151456457509,0.1556466748068717,1.2767935140430182,0.2887109362051365,Gujarat
Maize,Chattisgarh,0.3012397278276497,0.0866384083247002,0.1172822552233018,0.127432187358267,0.7244615197107412,0.0796031304725909,1.0819542710187198,5.769021198604394,0.578701334244636,Chattisgarh
Potato,UP,0.0065169386048198,0.0055860403650751,0.0067931021837112,0.0072692617434476,0.0392305826707197,0.0055994105569336,0.1116845244124756,1.1123911711993135,0.5017218723404695,UP
Cotton,Gujarat,0.0778365128270937,0.0745557011169425,0.0696410487075114,0.0447143366404563,0.096285197138872,0.044699419330319,0.1455897744064389,1.2866312559980613,0.2576117534754695,Gujarat
Groundnut,Guj,0.0340258135057023,0.033955993706429,0.0332358735234917,0.0356060229214494,0.0399831961313187,0.0340852813259298,0.0425533455588636,1.171304389630344,0.2905816506305637,Guj
