Commodity Name,State,MLP,GRU,LSTM,RNN,XGBoost,Linear Regression,SVR,ESN,ARIMA,State
Onion,Maharashtra,0.1156006808755828,0.0835836630869831,0.0867017226173557,0.0831347247034964,0.0925142661811804,0.0888426175804606,0.2568254204396403,1.139774289148836,0.2947250291820568,Maharashtra
Jowar,Maharashtra,0.0861042112419954,0.046980891060979,0.0937537514213081,0.062142046387263,0.3737964480754472,0.0662662929242107,0.4353299792136264,0.9213919618270444,0.2358250150786705,Maharashtra
Mustard,Rajasthan,0.0949973330081073,0.0776941950344592,0.0789379268218319,0.076090357049552,0.157626618271898,0.0772151226671456,0.3715857216569254,1.3069816717203504,0.487159870120997,Rajasthan
Lentil,MP,0.1114374985530574,0.109446996198034,0.1190322491772006,0.1102792164959729,0.1376582315141898,0.1111243185346875,0.1384664773705546,0.4490697900664087,0.392513925453667,MP
Cumin,Gujarat,0.1089688813806191,0.1001388196236269,0.1070299663587151,0.0952639867067151,0.1048560738854828,0.099536776415689,0.205479463187636,1.8557654358356992,0.3294953286792851,Gujarat
Greengram,UP,0.908683651364956,0.1893044910676892,0.2405476276940474,0.4256288286586802,0.1470453560509586,0.2893289323424323,1.037833101082167,96.5504065975377,0.2893323627901799,UP
Bajra,Guj,0.1678998666402627,0.1542880631159954,0.1522368424386698,0.1574816994477901,0.2268026088197512,0.1569424237504492,0.3503767073529872,1.836109358910217,0.2457299508346714,Guj
Soybean,MP,0.0745794555830857,0.0730749723205587,0.0727578963345701,0.0775961842517583,0.0714613019733778,0.0779263443447783,0.107840600881381,0.5526043719167761,0.1621451029092208,MP
DryChillies,AP,0.0523157798986683,0.0338929661833412,0.0368070088304973,0.0402352984843893,0.1207475208998396,0.037686659696205,0.1238475159646234,3.378444522923214,0.4389348268035938,AP
Wheat,UP,0.0792718426567741,0.0787646956499082,0.0654689514881002,0.0633161617086494,0.3630279577311818,0.0657849358820587,1.181420955874089,175.72985098822303,0.1711230901356631,UP
KabuliChana,MP,0.1108818666047088,0.1004061620470207,0.1032952862426653,0.1056416438834226,0.1050094416929729,0.1052138565952083,0.1164589694343699,0.8594455252491813,0.2454838966228778,MP
Ragi,Karnataka,0.1204719647184663,0.1992004544248378,0.1104391580086738,0.1217633918287149,0.2089732243734385,0.1215319188326039,1.0017276933604198,5.066056006362724,0.4724245428231302,Karnataka
Sesamum,Gujarat,0.4028252958076049,0.1863299317160465,0.2344480026429492,0.2259814221343106,0.6913490809415276,0.2556710975622778,1.0773649431119203,3.832353180203079,0.3140331046541623,Gujarat
Turmeric,Maharashtra,0.1089915245927146,0.0773376012394384,0.0727258552134274,0.0806172224646483,0.1457303767802023,0.08338453214131,0.4013941760105343,12.76786990814078,0.5440603922955072,Maharashtra
Bengalgram,MP,0.3247704520566492,0.0909157312833905,0.1078105672144211,0.1033562372658784,0.9328455878749798,0.1156805028512676,1.6975980739609182,14.82408754566959,0.3956222664509978,MP
Arhar,Maharashtra,0.124253115857452,0.1176697681353552,0.1184256672768117,0.119896849869849,0.1581878235773789,0.1202271275415157,0.2736642107014839,1.2086324230311676,0.2043649782585211,Maharashtra
Tomato,UP,0.1413885116857633,0.0936017626321354,0.0938672034512432,0.0998113949566602,0.1269703113580025,0.0963849212961188,0.1578434937525959,0.6788635187160676,0.4277497155666176,UP
Paddy,Chattisgarh,0.0910197738582542,0.0952131676604605,0.0913704495576385,0.1979650921697767,0.1097926565905742,0.0863977749219913,0.2834658172056858,8.501183338276855,0.0813381895877748,Chattisgarh
Coriander,Gujarat,0.1227620987043864,0.1043008117132072,0.0939522709375186,0.0972113248780329,0.1945122368960814,0.0969243632852934,0.3732747862734775,3.0620302467825566,0.2887109362051365,Gujarat
Maize,Chattisgarh,0.5809623322390389,0.1670883589119219,0.2261872065020821,0.245762075619515,1.397175788013573,0.1535203230542826,2.0866260941075314,11.125969454451331,0.578701334244636,Chattisgarh
Potato,UP,0.0828582194041378,0.0710225132130978,0.0863694420500427,0.0924234707381205,0.4987888368134373,0.0711925056524424,1.4199889532443326,14.143259176676986,0.5017218723404695,UP
Cotton,Gujarat,0.1182830660678392,0.1132974307384405,0.1058289543829215,0.0679494576892413,0.1463183269763316,0.0679267888270784,0.2212432736185518,1.9552095068317568,0.2576117534754695,Gujarat
Groundnut,Guj,0.0455095255638768,0.0454161415823488,0.0444529808376701,0.0476230556574386,0.0534775248256388,0.0455890637734311,0.05691509968498,1.5666196211305847,0.2905816506305637,Guj
