Commodity,GARCH,GJR-GARCH,EWMA,MEM,P-WEV
Turmeric,1.0770505604176943,1.1204838778656798,1.063290059257343,0.9697920175231476,0.5011870007073292
Mustard,1.1123173730617075,1.179447279124242,0.9485585683885036,0.9124857800998034,0.3089317678457027
Paddy,0.8677931084153717,0.8684514131361241,0.8320557755619457,0.8055487755878872,0.366709176888036
Greengram,1.0985128583418229,1.196117338178871,0.9591377336066452,0.9458877326290396,0.1023875059135731
Cotton,0.887036509073637,0.8849767598445942,0.8133674802287179,0.789651053393364,0.3979774814436233
DryChillies,0.361777526349709,0.3607907922219808,0.3616959599439541,0.3820542145521444,1.05020128530901
KabuliChana,1.0681242483086315,1.0620326244848663,0.872947498746685,0.8356158919501473,0.3453108466983342
Sesamum,0.9531115209730194,0.9531132017814072,0.933621197629738,0.9085655652736444,0.1591871732141044
Cumin,0.9624808202917672,0.9799310766119508,0.8828921105342965,0.8443401242351913,0.2128591388900647
Soybean,0.9293121126383896,0.926509707073068,0.903398059859558,0.8676055106759365,0.2540172273980224
Potato,0.9769985656506358,0.9665986537641662,0.9758557625666696,0.9539327929815812,0.1159545182989513
Groundnut,1.0193292074458555,1.011642222287168,0.8967865168788355,0.8837757946340251,0.2119118456435239
Jowar,0.8816857464163805,0.8927863148976086,0.8185280961786944,0.7758265566512903,0.3576367091872457
Lentil,0.931528523196822,0.9403940707282116,0.8621429649257317,0.8259008836245033,0.2884784291470406
Maize,1.0438708464417827,1.1396993905121875,0.9136400179404826,0.9279363228495288,0.1067263555290294
Arhar,1.148011826360639,1.1623107207505814,0.8930073194693939,0.8532869499108474,0.2013030606917558
Onion,0.9419153676811296,0.9962345894526916,0.8300083942175583,0.7007134898884501,0.3211855851624884
Tomato,1.1054580640137377,1.1552144730979064,0.9073194734590768,0.788215008378486,0.2195900190136747
Bengalgram,0.9411899762816868,0.9449513112184708,0.9175883475871822,0.8859389642369502,0.1548097357969831
Wheat,1.018743110292453,1.0135782214743798,0.9841179736878164,0.9745845879781316,0.1218501389291448
Ragi,0.892501509157795,0.892086875001352,0.8910675782036995,0.8685388977921268,0.2284818548166321
Coriander,0.9130882898922528,0.9149642914277883,0.899999214910335,0.8772028369116901,0.206263465438477
Bajra,0.9198235606696136,0.9245527184032206,0.8165746290381282,0.771372311320043,0.3695331022903801
