File,Model,RMSE
Turmeric_Maharashtra.csv,GARCH,1.140877818242015
Turmeric_Maharashtra.csv,GJR-GARCH,1.120475994484548
Turmeric_Maharashtra.csv,EWMA,1.0632900592573433
Turmeric_Maharashtra.csv,MEM,0.9697920175231476
Turmeric_Maharashtra.csv,P-WEV,0.5011870007073292
Mustard_Rajasthan.csv,GARCH,1.1123147799192459
Mustard_Rajasthan.csv,GJR-GARCH,1.1794471892666654
Mustard_Rajasthan.csv,EWMA,0.9485585683885037
Mustard_Rajasthan.csv,MEM,0.9124857800998034
Mustard_Rajasthan.csv,P-WEV,0.30893176784570275
Paddy_Chattisgarh.csv,GARCH,0.867790815662863
Paddy_Chattisgarh.csv,GJR-GARCH,0.8684542108420203
Paddy_Chattisgarh.csv,EWMA,0.8320557755619457
Paddy_Chattisgarh.csv,MEM,0.8055487755878872
Paddy_Chattisgarh.csv,P-WEV,0.36670917688803606
Greengram_UP.csv,GARCH,1.0985124845519587
Greengram_UP.csv,GJR-GARCH,1.1961150655420987
Greengram_UP.csv,EWMA,0.9591377336066451
Greengram_UP.csv,MEM,0.9458877326290397
Greengram_UP.csv,P-WEV,0.10238750591357315
Cotton_Gujarat.csv,GARCH,0.8870371579004546
Cotton_Gujarat.csv,GJR-GARCH,0.8849766698701966
Cotton_Gujarat.csv,EWMA,0.8133674802287179
Cotton_Gujarat.csv,MEM,0.789651053393364
Cotton_Gujarat.csv,P-WEV,0.3979774814436233
DryChillies_AP.csv,GARCH,0.3617775848420803
DryChillies_AP.csv,GJR-GARCH,0.36079077970714624
DryChillies_AP.csv,EWMA,0.3616959599439541
DryChillies_AP.csv,MEM,0.38205421455214444
DryChillies_AP.csv,P-WEV,1.05020128530901
KabuliChana_MP.csv,GARCH,1.0681238547903809
KabuliChana_MP.csv,GJR-GARCH,1.062040915282018
KabuliChana_MP.csv,EWMA,0.872947498746685
KabuliChana_MP.csv,MEM,0.8356158919501473
KabuliChana_MP.csv,P-WEV,0.34531084669833423
Sesamum_Gujarat.csv,GARCH,0.9531115093239618
